hire_month,business_unit,location,skill_family,clearance_type,days_to_fill
2024-07,Aeronautics,Remote-Eligible,Mechanical Engineering,Secret,88
2024-07,Rotary & Mission Systems,"Bethesda, MD",Finance & Accounting,TS/SCI,138
2024-07,Missiles & Fire Control,"Grand Prairie, TX",Cybersecurity,Secret,53
2024-07,Rotary & Mission Systems,"Sunnyvale, CA",Cybersecurity,Top Secret,81
2024-07,Missiles & Fire Control,"Orlando, FL",Mechanical Engineering,Secret,83
2024-07,Corporate Shared Services,"Sunnyvale, CA",Software Engineering,None,49
2024-07,Aeronautics,"Grand Prairie, TX",Systems Engineering,Public Trust,87
2024-07,Corporate Shared Services,"Fort Worth, TX",Systems Engineering,Secret,76
2024-07,Space,"Orlando, FL",Software Engineering,Secret,53
2024-07,Corporate Shared Services,"Denver, CO",Manufacturing Operations,Secret,63
2024-07,Corporate Shared Services,"Grand Prairie, TX",Mechanical Engineering,None,21
2024-07,Aeronautics,Remote-Eligible,Cybersecurity,Secret,77
2024-07,Corporate Shared Services,"Sunnyvale, CA",Cybersecurity,None,57
2024-07,Rotary & Mission Systems,Remote-Eligible,Data Science & Analytics,TS/SCI,120
2024-07,Corporate Shared Services,"Bethesda, MD",Electrical Engineering,None,75
2024-07,Corporate Shared Services,"Fort Worth, TX",HR / People Analytics,None,76
2024-07,Rotary & Mission Systems,"Orlando, FL",HR / People Analytics,Secret,78
2024-07,Missiles & Fire Control,"Bethesda, MD",Cybersecurity,Secret,51
2024-07,Aeronautics,"Denver, CO",Systems Engineering,Secret,89
2024-07,Aeronautics,"Grand Prairie, TX",Data Science & Analytics,Secret,88
2024-07,Missiles & Fire Control,"Denver, CO",Mechanical Engineering,TS/SCI,130
2024-07,Corporate Shared Services,Remote-Eligible,Data Science & Analytics,Secret,94
2024-07,Rotary & Mission Systems,"Sunnyvale, CA",Electrical Engineering,Secret,64
2024-07,Rotary & Mission Systems,"Fort Worth, TX",Mechanical Engineering,Secret,109
2024-07,Missiles & Fire Control,"Grand Prairie, TX",Systems Engineering,None,46
2024-07,Rotary & Mission Systems,Remote-Eligible,Cybersecurity,Secret,91
2024-07,Space,"Huntsville, AL",Cybersecurity,None,36
2024-07,Corporate Shared Services,"Huntsville, AL",Software Engineering,Secret,67
2024-07,Space,Remote-Eligible,Software Engineering,None,81
2024-07,Space,"Fort Worth, TX",Program / Project Management,TS/SCI,122
2024-08,Rotary & Mission Systems,"Orlando, FL",Cybersecurity,Public Trust,48
2024-08,Aeronautics,"Bethesda, MD",Systems Engineering,Secret,62
2024-08,Corporate Shared Services,"Bethesda, MD",Electrical Engineering,Top Secret,76
2024-08,Missiles & Fire Control,Remote-Eligible,HR / People Analytics,None,60
2024-08,Missiles & Fire Control,"Grand Prairie, TX",Cybersecurity,Top Secret,89
2024-08,Rotary & Mission Systems,"Orlando, FL",Mechanical Engineering,Public Trust,63
2024-08,Space,"Denver, CO",Systems Engineering,None,69
2024-08,Rotary & Mission Systems,"Denver, CO",Software Engineering,Secret,72
2024-08,Rotary & Mission Systems,"Sunnyvale, CA",Systems Engineering,Top Secret,108
2024-08,Rotary & Mission Systems,"Huntsville, AL",Software Engineering,Public Trust,64
2024-08,Corporate Shared Services,"Huntsville, AL",Finance & Accounting,Secret,90
2024-08,Missiles & Fire Control,"Orlando, FL",Cybersecurity,Public Trust,75
2024-08,Corporate Shared Services,"Huntsville, AL",Manufacturing Operations,Secret,71
2024-08,Space,"Orlando, FL",Electrical Engineering,Secret,78
2024-08,Corporate Shared Services,"Sunnyvale, CA",Systems Engineering,Secret,95
2024-08,Corporate Shared Services,"Fort Worth, TX",Software Engineering,Secret,86
2024-08,Space,"Grand Prairie, TX",Manufacturing Operations,None,40
2024-08,Missiles & Fire Control,Remote-Eligible,Systems Engineering,Secret,90
2024-08,Space,"Sunnyvale, CA",Supply Chain,Secret,65
2024-08,Space,"Bethesda, MD",Software Engineering,Secret,100
2024-08,Missiles & Fire Control,"Fort Worth, TX",Electrical Engineering,None,74
2024-08,Space,"Bethesda, MD",Manufacturing Operations,Secret,85
2024-08,Missiles & Fire Control,"Grand Prairie, TX",Systems Engineering,Secret,83
2024-08,Rotary & Mission Systems,"Bethesda, MD",Systems Engineering,None,57
2024-08,Space,Remote-Eligible,Finance & Accounting,None,69
2024-08,Aeronautics,"Denver, CO",Systems Engineering,Secret,75
2024-08,Missiles & Fire Control,"Fort Worth, TX",Data Science & Analytics,Secret,84
2024-08,Space,"Sunnyvale, CA",Data Science & Analytics,None,72
2024-08,Rotary & Mission Systems,"Fort Worth, TX",Systems Engineering,Top Secret,97
2024-08,Corporate Shared Services,"Sunnyvale, CA",Program / Project Management,Secret,72
2024-08,Aeronautics,"Fort Worth, TX",Program / Project Management,Top Secret,88
2024-08,Space,"Bethesda, MD",Cybersecurity,Secret,66
2024-08,Corporate Shared Services,"Grand Prairie, TX",Manufacturing Operations,Secret,55
2024-08,Corporate Shared Services,"Orlando, FL",Systems Engineering,Secret,91
2024-08,Aeronautics,"Fort Worth, TX",Software Engineering,Top Secret,130
2024-08,Corporate Shared Services,Remote-Eligible,Mechanical Engineering,Secret,100
2024-08,Missiles & Fire Control,"Huntsville, AL",Business Development,Secret,58
2024-08,Missiles & Fire Control,"Huntsville, AL",Software Engineering,Secret,91
2024-08,Missiles & Fire Control,"Fort Worth, TX",Systems Engineering,Secret,100
2024-08,Space,"Grand Prairie, TX",Mechanical Engineering,None,53
2024-08,Space,Remote-Eligible,Manufacturing Operations,Secret,82
2024-08,Rotary & Mission Systems,"Denver, CO",Software Engineering,Secret,52
2024-08,Aeronautics,"Orlando, FL",Cybersecurity,Top Secret,108
2024-08,Corporate Shared Services,"Orlando, FL",Program / Project Management,Secret,66
2024-08,Missiles & Fire Control,"Grand Prairie, TX",Cybersecurity,Secret,83
2024-08,Aeronautics,Remote-Eligible,Systems Engineering,TS/SCI,104
2024-08,Rotary & Mission Systems,"Orlando, FL",Systems Engineering,Secret,88
2024-08,Rotary & Mission Systems,Remote-Eligible,Cybersecurity,None,74
2024-08,Space,"Bethesda, MD",Mechanical Engineering,None,49
2024-08,Corporate Shared Services,Remote-Eligible,Manufacturing Operations,None,44
2024-08,Aeronautics,"Huntsville, AL",Electrical Engineering,None,29
2024-08,Missiles & Fire Control,"Grand Prairie, TX",Program / Project Management,Secret,77
2024-08,Rotary & Mission Systems,"Huntsville, AL",Business Development,Top Secret,96
2024-08,Space,"Orlando, FL",Cybersecurity,Secret,59
2024-08,Space,"Grand Prairie, TX",Cybersecurity,None,66
2024-08,Missiles & Fire Control,"Orlando, FL",HR / People Analytics,Secret,74
2024-08,Space,"Orlando, FL",Systems Engineering,None,44
2024-08,Corporate Shared Services,"Fort Worth, TX",Program / Project Management,TS/SCI,118
2024-08,Rotary & Mission Systems,"Orlando, FL",Program / Project Management,None,74
2024-08,Corporate Shared Services,"Fort Worth, TX",Software Engineering,Secret,89
2024-08,Space,"Sunnyvale, CA",Data Science & Analytics,Public Trust,67
2024-08,Missiles & Fire Control,"Fort Worth, TX",Systems Engineering,Secret,89
2024-08,Missiles & Fire Control,"Fort Worth, TX",Systems Engineering,Secret,64
2024-08,Space,Remote-Eligible,Data Science & Analytics,Top Secret,105
2024-08,Missiles & Fire Control,"Fort Worth, TX",Systems Engineering,None,62
2024-08,Missiles & Fire Control,"Fort Worth, TX",Manufacturing Operations,Top Secret,98
2024-08,Missiles & Fire Control,"Fort Worth, TX",Supply Chain,Secret,87
2024-08,Space,"Orlando, FL",Manufacturing Operations,Top Secret,94
2024-08,Missiles & Fire Control,"Denver, CO",Systems Engineering,Top Secret,112
2024-08,Space,"Huntsville, AL",Systems Engineering,TS/SCI,133
2024-08,Corporate Shared Services,"Bethesda, MD",Systems Engineering,None,19
2024-08,Corporate Shared Services,"Denver, CO",Software Engineering,Public Trust,85
2024-08,Corporate Shared Services,"Fort Worth, TX",Finance & Accounting,Public Trust,26
2024-08,Aeronautics,"Huntsville, AL",Cybersecurity,Public Trust,60
2024-08,Rotary & Mission Systems,"Fort Worth, TX",Systems Engineering,Secret,95
2024-08,Missiles & Fire Control,"Bethesda, MD",Manufacturing Operations,TS/SCI,121
2024-08,Corporate Shared Services,"Sunnyvale, CA",Cybersecurity,TS/SCI,105
2024-08,Space,Remote-Eligible,Software Engineering,Secret,65
2024-08,Missiles & Fire Control,"Grand Prairie, TX",Software Engineering,Secret,95
2024-08,Rotary & Mission Systems,"Bethesda, MD",Electrical Engineering,Top Secret,78
2024-08,Space,"Sunnyvale, CA",Program / Project Management,TS/SCI,141
2024-08,Rotary & Mission Systems,"Denver, CO",Systems Engineering,None,59
2024-08,Rotary & Mission Systems,Remote-Eligible,Supply Chain,Secret,64
2024-08,Aeronautics,"Bethesda, MD",Manufacturing Operations,Top Secret,96
2024-08,Rotary & Mission Systems,"Sunnyvale, CA",Manufacturing Operations,Public Trust,54
2024-08,Missiles & Fire Control,"Sunnyvale, CA",Systems Engineering,Secret,93
2024-08,Corporate Shared Services,"Bethesda, MD",Software Engineering,TS/SCI,136
2024-08,Corporate Shared Services,"Grand Prairie, TX",Manufacturing Operations,TS/SCI,101
2024-08,Space,"Orlando, FL",Systems Engineering,Top Secret,99
2024-08,Aeronautics,"Sunnyvale, CA",Electrical Engineering,Top Secret,92
2024-08,Corporate Shared Services,"Fort Worth, TX",Program / Project Management,Public Trust,87
2024-08,Missiles & Fire Control,"Orlando, FL",Software Engineering,Public Trust,50
2024-08,Rotary & Mission Systems,"Sunnyvale, CA",Program / Project Management,Secret,103
2024-08,Corporate Shared Services,"Huntsville, AL",HR / People Analytics,Secret,80
2024-08,Corporate Shared Services,"Huntsville, AL",Program / Project Management,Secret,64
2024-08,Aeronautics,"Grand Prairie, TX",Data Science & Analytics,Secret,71
2024-08,Missiles & Fire Control,"Sunnyvale, CA",Supply Chain,Secret,69
2024-08,Space,"Orlando, FL",Mechanical Engineering,Secret,63
2024-08,Rotary & Mission Systems,"Huntsville, AL",Program / Project Management,Public Trust,70
2024-08,Missiles & Fire Control,"Orlando, FL",Manufacturing Operations,Public Trust,51
2024-08,Rotary & Mission Systems,"Huntsville, AL",Program / Project Management,None,29
2024-08,Corporate Shared Services,"Huntsville, AL",Systems Engineering,None,54
2024-09,Corporate Shared Services,"Orlando, FL",Electrical Engineering,Top Secret,96
2024-09,Corporate Shared Services,"Bethesda, MD",Systems Engineering,Public Trust,57
2024-09,Corporate Shared Services,"Sunnyvale, CA",Software Engineering,Top Secret,89
2024-09,Missiles & Fire Control,"Bethesda, MD",Mechanical Engineering,None,55
2024-09,Corporate Shared Services,"Bethesda, MD",Program / Project Management,TS/SCI,108
2024-09,Rotary & Mission Systems,Remote-Eligible,Systems Engineering,Top Secret,109
2024-09,Space,"Sunnyvale, CA",Systems Engineering,None,60
2024-09,Corporate Shared Services,"Grand Prairie, TX",Manufacturing Operations,Secret,87
2024-09,Aeronautics,"Denver, CO",Mechanical Engineering,None,67
2024-09,Rotary & Mission Systems,"Orlando, FL",Manufacturing Operations,Top Secret,113
2024-09,Aeronautics,"Fort Worth, TX",Data Science & Analytics,Top Secret,99
2024-09,Missiles & Fire Control,"Denver, CO",Finance & Accounting,Secret,110
2024-09,Rotary & Mission Systems,"Huntsville, AL",Electrical Engineering,Top Secret,108
2024-09,Corporate Shared Services,"Denver, CO",Software Engineering,None,33
2024-09,Corporate Shared Services,"Huntsville, AL",Supply Chain,Public Trust,54
2024-09,Missiles & Fire Control,"Orlando, FL",Mechanical Engineering,Secret,56
2024-09,Missiles & Fire Control,"Sunnyvale, CA",Software Engineering,None,60
2024-09,Rotary & Mission Systems,"Denver, CO",Software Engineering,Secret,79
2024-09,Corporate Shared Services,"Grand Prairie, TX",Electrical Engineering,Public Trust,62
2024-09,Corporate Shared Services,"Fort Worth, TX",Software Engineering,Secret,109
2024-09,Missiles & Fire Control,"Fort Worth, TX",Systems Engineering,Secret,88
2024-09,Aeronautics,Remote-Eligible,Software Engineering,Top Secret,115
2024-09,Space,"Denver, CO",Data Science & Analytics,Public Trust,55
2024-09,Missiles & Fire Control,"Grand Prairie, TX",Cybersecurity,Top Secret,91
2024-09,Aeronautics,"Grand Prairie, TX",Mechanical Engineering,Secret,81
2024-09,Aeronautics,"Fort Worth, TX",Systems Engineering,Public Trust,71
2024-09,Rotary & Mission Systems,Remote-Eligible,Software Engineering,Secret,55
2024-09,Missiles & Fire Control,"Fort Worth, TX",Electrical Engineering,Secret,78
2024-09,Rotary & Mission Systems,"Huntsville, AL",Cybersecurity,Public Trust,69
2024-09,Missiles & Fire Control,"Orlando, FL",Electrical Engineering,Secret,77
2024-09,Space,"Grand Prairie, TX",Software Engineering,None,48
2024-09,Space,"Grand Prairie, TX",Software Engineering,Secret,73
2024-09,Rotary & Mission Systems,"Huntsville, AL",Systems Engineering,Secret,78
2024-09,Aeronautics,"Fort Worth, TX",Data Science & Analytics,Secret,82
2024-09,Rotary & Mission Systems,"Grand Prairie, TX",Cybersecurity,Top Secret,113
2024-09,Space,"Grand Prairie, TX",Manufacturing Operations,Public Trust,84
2024-09,Missiles & Fire Control,"Grand Prairie, TX",Cybersecurity,TS/SCI,121
2024-09,Missiles & Fire Control,"Orlando, FL",Mechanical Engineering,Top Secret,98
2024-09,Rotary & Mission Systems,Remote-Eligible,Electrical Engineering,TS/SCI,132
2024-09,Missiles & Fire Control,"Sunnyvale, CA",Software Engineering,Top Secret,113
2024-09,Rotary & Mission Systems,"Sunnyvale, CA",Mechanical Engineering,None,53
2024-09,Missiles & Fire Control,"Sunnyvale, CA",Cybersecurity,Secret,92
2024-09,Missiles & Fire Control,Remote-Eligible,Data Science & Analytics,None,73
2024-09,Space,"Grand Prairie, TX",Software Engineering,Top Secret,123
2024-09,Rotary & Mission Systems,"Grand Prairie, TX",Program / Project Management,Secret,105
2024-09,Rotary & Mission Systems,"Grand Prairie, TX",Finance & Accounting,Public Trust,56
2024-09,Space,"Grand Prairie, TX",Software Engineering,Top Secret,105
2024-09,Missiles & Fire Control,"Fort Worth, TX",Electrical Engineering,None,60
2024-09,Aeronautics,"Denver, CO",Program / Project Management,Secret,79
2024-09,Corporate Shared Services,"Fort Worth, TX",Systems Engineering,Secret,71
2024-09,Aeronautics,"Orlando, FL",Program / Project Management,None,39
2024-09,Rotary & Mission Systems,"Orlando, FL",Electrical Engineering,Secret,82
2024-09,Missiles & Fire Control,"Grand Prairie, TX",HR / People Analytics,Top Secret,94
2024-09,Missiles & Fire Control,"Huntsville, AL",Business Development,None,61
2024-09,Aeronautics,"Denver, CO",Software Engineering,Secret,69
2024-09,Corporate Shared Services,Remote-Eligible,Data Science & Analytics,Public Trust,53
2024-09,Rotary & Mission Systems,"Grand Prairie, TX",Mechanical Engineering,Secret,84
2024-09,Missiles & Fire Control,Remote-Eligible,Software Engineering,None,62
2024-09,Space,"Fort Worth, TX",Systems Engineering,TS/SCI,134
2024-09,Aeronautics,"Denver, CO",Business Development,Top Secret,135
2024-09,Rotary & Mission Systems,"Huntsville, AL",Software Engineering,None,63
2024-09,Rotary & Mission Systems,"Denver, CO",Data Science & Analytics,Public Trust,75
2024-09,Rotary & Mission Systems,Remote-Eligible,Manufacturing Operations,Secret,65
2024-09,Aeronautics,"Grand Prairie, TX",Systems Engineering,Secret,62
2024-09,Corporate Shared Services,"Fort Worth, TX",Mechanical Engineering,Secret,103
2024-09,Missiles & Fire Control,"Huntsville, AL",Finance & Accounting,None,47
2024-09,Space,"Fort Worth, TX",Mechanical Engineering,None,45
2024-09,Space,"Huntsville, AL",Software Engineering,TS/SCI,125
2024-09,Missiles & Fire Control,"Bethesda, MD",Software Engineering,Secret,79
2024-09,Aeronautics,"Huntsville, AL",Finance & Accounting,Top Secret,92
2024-09,Missiles & Fire Control,"Sunnyvale, CA",Systems Engineering,Secret,76
2024-09,Corporate Shared Services,Remote-Eligible,Mechanical Engineering,Top Secret,122
2024-09,Corporate Shared Services,"Orlando, FL",Software Engineering,None,48
2024-09,Corporate Shared Services,"Sunnyvale, CA",Data Science & Analytics,None,40
2024-09,Missiles & Fire Control,"Fort Worth, TX",HR / People Analytics,Top Secret,118
2024-09,Space,"Huntsville, AL",Mechanical Engineering,TS/SCI,132
2024-10,Space,"Denver, CO",Program / Project Management,Secret,74
2024-10,Missiles & Fire Control,"Bethesda, MD",Software Engineering,Secret,74
2024-10,Space,Remote-Eligible,Software Engineering,Secret,85
2024-10,Missiles & Fire Control,Remote-Eligible,Program / Project Management,Secret,89
2024-10,Corporate Shared Services,"Sunnyvale, CA",Finance & Accounting,Secret,68
2024-10,Missiles & Fire Control,"Sunnyvale, CA",Program / Project Management,Top Secret,105
2024-10,Aeronautics,"Orlando, FL",Mechanical Engineering,Secret,52
2024-10,Aeronautics,"Denver, CO",Mechanical Engineering,Secret,83
2024-10,Corporate Shared Services,Remote-Eligible,Data Science & Analytics,Secret,91
2024-10,Corporate Shared Services,"Sunnyvale, CA",Systems Engineering,None,56
2024-10,Missiles & Fire Control,"Grand Prairie, TX",Mechanical Engineering,Public Trust,94
2024-10,Space,"Fort Worth, TX",Data Science & Analytics,Secret,68
2024-10,Rotary & Mission Systems,"Sunnyvale, CA",Electrical Engineering,Top Secret,108
2024-10,Aeronautics,"Orlando, FL",Supply Chain,Secret,80
2024-10,Rotary & Mission Systems,Remote-Eligible,Business Development,None,58
2024-10,Space,"Denver, CO",Software Engineering,Secret,79
2024-10,Corporate Shared Services,"Orlando, FL",Cybersecurity,None,61
2024-10,Corporate Shared Services,"Fort Worth, TX",Systems Engineering,Secret,92
2024-10,Aeronautics,"Huntsville, AL",Cybersecurity,Top Secret,124
2024-10,Missiles & Fire Control,Remote-Eligible,Systems Engineering,Secret,80
2024-10,Rotary & Mission Systems,"Huntsville, AL",Software Engineering,Secret,92
2024-10,Aeronautics,"Fort Worth, TX",Program / Project Management,Public Trust,59
2024-10,Rotary & Mission Systems,"Fort Worth, TX",Mechanical Engineering,Secret,91
2024-10,Aeronautics,"Orlando, FL",Supply Chain,Top Secret,94
2024-10,Aeronautics,"Huntsville, AL",Software Engineering,Secret,96
2024-10,Aeronautics,"Huntsville, AL",Software Engineering,Secret,111
2024-10,Missiles & Fire Control,"Huntsville, AL",Cybersecurity,Secret,79
2024-10,Space,"Fort Worth, TX",Software Engineering,None,29
2024-10,Aeronautics,"Orlando, FL",Systems Engineering,None,52
2024-10,Corporate Shared Services,Remote-Eligible,Business Development,None,77
2024-10,Missiles & Fire Control,Remote-Eligible,Systems Engineering,Secret,88
2024-10,Aeronautics,"Bethesda, MD",Systems Engineering,TS/SCI,129
2024-10,Missiles & Fire Control,"Fort Worth, TX",Mechanical Engineering,Secret,95
2024-10,Space,"Fort Worth, TX",Mechanical Engineering,None,66
2024-10,Aeronautics,"Fort Worth, TX",Mechanical Engineering,None,77
2024-10,Aeronautics,"Bethesda, MD",Cybersecurity,Public Trust,81
2024-10,Corporate Shared Services,"Huntsville, AL",Manufacturing Operations,Top Secret,126
2024-10,Rotary & Mission Systems,"Bethesda, MD",Software Engineering,Secret,86
2024-10,Missiles & Fire Control,"Grand Prairie, TX",Data Science & Analytics,Top Secret,117
2024-10,Space,"Huntsville, AL",Electrical Engineering,Top Secret,100
2024-10,Corporate Shared Services,"Fort Worth, TX",Manufacturing Operations,None,51
2024-10,Missiles & Fire Control,"Huntsville, AL",Cybersecurity,Secret,104
2024-10,Rotary & Mission Systems,Remote-Eligible,Mechanical Engineering,TS/SCI,129
2024-10,Aeronautics,"Bethesda, MD",Software Engineering,Secret,92
2024-10,Missiles & Fire Control,Remote-Eligible,Software Engineering,None,61
2024-10,Rotary & Mission Systems,"Denver, CO",Software Engineering,Top Secret,96
2024-10,Aeronautics,"Sunnyvale, CA",Program / Project Management,Top Secret,105
2024-10,Corporate Shared Services,"Grand Prairie, TX",Systems Engineering,Secret,101
2024-10,Corporate Shared Services,Remote-Eligible,Program / Project Management,Secret,88
2024-10,Missiles & Fire Control,"Bethesda, MD",Software Engineering,None,36
2024-10,Missiles & Fire Control,"Orlando, FL",Manufacturing Operations,Top Secret,101
2024-10,Aeronautics,Remote-Eligible,Manufacturing Operations,Secret,105
2024-10,Rotary & Mission Systems,"Fort Worth, TX",Software Engineering,None,57
2024-10,Aeronautics,"Denver, CO",Software Engineering,Secret,55
2024-10,Missiles & Fire Control,"Orlando, FL",Software Engineering,TS/SCI,152
2024-10,Rotary & Mission Systems,"Bethesda, MD",Manufacturing Operations,Top Secret,114
2024-10,Space,"Sunnyvale, CA",Systems Engineering,Public Trust,68
2024-10,Rotary & Mission Systems,"Sunnyvale, CA",Mechanical Engineering,None,54
2024-10,Missiles & Fire Control,"Bethesda, MD",Data Science & Analytics,TS/SCI,141
2024-10,Space,"Huntsville, AL",Manufacturing Operations,TS/SCI,118
2024-10,Space,"Sunnyvale, CA",Mechanical Engineering,Secret,97
2024-10,Space,Remote-Eligible,Mechanical Engineering,Secret,88
2024-10,Rotary & Mission Systems,"Sunnyvale, CA",Business Development,Secret,84
2024-10,Corporate Shared Services,"Orlando, FL",Software Engineering,Secret,83
2024-10,Missiles & Fire Control,"Fort Worth, TX",Manufacturing Operations,None,57
2024-10,Corporate Shared Services,"Orlando, FL",Software Engineering,None,74
2024-10,Missiles & Fire Control,"Bethesda, MD",Mechanical Engineering,None,47
2024-10,Missiles & Fire Control,"Denver, CO",Supply Chain,Top Secret,82
2024-10,Rotary & Mission Systems,"Grand Prairie, TX",Electrical Engineering,None,68
2024-10,Rotary & Mission Systems,"Sunnyvale, CA",Electrical Engineering,None,68
2024-10,Space,"Huntsville, AL",Systems Engineering,Secret,87
2024-10,Missiles & Fire Control,"Denver, CO",Cybersecurity,None,65
2024-10,Corporate Shared Services,"Fort Worth, TX",Cybersecurity,None,55
2024-10,Missiles & Fire Control,"Fort Worth, TX",Mechanical Engineering,Secret,92
2024-10,Rotary & Mission Systems,"Sunnyvale, CA",Data Science & Analytics,Secret,80
2024-10,Corporate Shared Services,"Sunnyvale, CA",Systems Engineering,Secret,74
2024-11,Aeronautics,"Orlando, FL",Electrical Engineering,Top Secret,97
2024-11,Missiles & Fire Control,"Grand Prairie, TX",Systems Engineering,None,72
2024-11,Space,"Denver, CO",Electrical Engineering,Top Secret,97
2024-11,Corporate Shared Services,"Denver, CO",Cybersecurity,Top Secret,95
2024-11,Rotary & Mission Systems,Remote-Eligible,Supply Chain,Top Secret,79
2024-11,Corporate Shared Services,"Sunnyvale, CA",Manufacturing Operations,Secret,105
2024-11,Missiles & Fire Control,"Fort Worth, TX",Mechanical Engineering,Secret,92
2024-11,Aeronautics,"Sunnyvale, CA",Program / Project Management,Secret,91
2024-11,Aeronautics,"Denver, CO",Systems Engineering,Secret,94
2024-11,Rotary & Mission Systems,"Denver, CO",Mechanical Engineering,Top Secret,113
2024-11,Space,"Denver, CO",Systems Engineering,None,56
2024-11,Missiles & Fire Control,Remote-Eligible,Manufacturing Operations,Public Trust,66
2024-11,Space,"Huntsville, AL",Manufacturing Operations,None,54
2024-11,Space,"Grand Prairie, TX",Supply Chain,TS/SCI,162
2024-11,Missiles & Fire Control,"Grand Prairie, TX",Supply Chain,Secret,88
2024-11,Missiles & Fire Control,"Bethesda, MD",Finance & Accounting,Secret,74
2024-11,Space,"Sunnyvale, CA",Systems Engineering,Top Secret,111
2024-11,Space,"Sunnyvale, CA",HR / People Analytics,TS/SCI,111
2024-11,Aeronautics,"Orlando, FL",Mechanical Engineering,None,81
2024-11,Missiles & Fire Control,"Grand Prairie, TX",Data Science & Analytics,Top Secret,95
2024-11,Rotary & Mission Systems,"Bethesda, MD",Mechanical Engineering,Top Secret,112
2024-11,Rotary & Mission Systems,"Huntsville, AL",Cybersecurity,None,74
2024-11,Aeronautics,"Huntsville, AL",Systems Engineering,Top Secret,110
2024-11,Corporate Shared Services,"Grand Prairie, TX",Systems Engineering,Secret,82
2024-11,Missiles & Fire Control,"Orlando, FL",Software Engineering,Secret,81
2024-11,Missiles & Fire Control,"Orlando, FL",Mechanical Engineering,Secret,80
2024-11,Aeronautics,"Sunnyvale, CA",Supply Chain,Public Trust,60
2024-11,Corporate Shared Services,"Denver, CO",Electrical Engineering,None,53
2024-11,Missiles & Fire Control,Remote-Eligible,Mechanical Engineering,None,80
2024-11,Corporate Shared Services,Remote-Eligible,Data Science & Analytics,None,58
2024-11,Rotary & Mission Systems,"Fort Worth, TX",Data Science & Analytics,Secret,69
2024-11,Corporate Shared Services,"Bethesda, MD",Systems Engineering,Secret,73
2024-11,Aeronautics,"Grand Prairie, TX",Manufacturing Operations,None,75
2024-11,Aeronautics,"Orlando, FL",Systems Engineering,Secret,90
2024-11,Corporate Shared Services,"Denver, CO",Program / Project Management,Secret,88
2024-11,Corporate Shared Services,"Fort Worth, TX",Program / Project Management,Secret,77
2024-11,Rotary & Mission Systems,"Grand Prairie, TX",Mechanical Engineering,TS/SCI,134
2024-11,Aeronautics,"Denver, CO",Manufacturing Operations,Secret,71
2024-11,Corporate Shared Services,"Grand Prairie, TX",Systems Engineering,Top Secret,101
2024-11,Missiles & Fire Control,"Denver, CO",Supply Chain,None,73
2024-11,Corporate Shared Services,"Sunnyvale, CA",Program / Project Management,Secret,93
2024-11,Corporate Shared Services,"Huntsville, AL",Manufacturing Operations,TS/SCI,112
2024-11,Corporate Shared Services,"Orlando, FL",Electrical Engineering,Top Secret,93
2024-11,Space,"Fort Worth, TX",Manufacturing Operations,Secret,82
2024-11,Space,"Denver, CO",Business Development,Secret,105
2024-11,Rotary & Mission Systems,"Grand Prairie, TX",Data Science & Analytics,Secret,54
2024-11,Aeronautics,"Bethesda, MD",Manufacturing Operations,Secret,84
2024-11,Missiles & Fire Control,"Fort Worth, TX",Program / Project Management,Top Secret,85
2024-11,Space,"Denver, CO",Data Science & Analytics,TS/SCI,117
2024-11,Corporate Shared Services,Remote-Eligible,HR / People Analytics,Secret,75
2024-11,Rotary & Mission Systems,"Fort Worth, TX",Cybersecurity,None,54
2024-11,Space,"Grand Prairie, TX",Mechanical Engineering,Secret,73
2024-11,Aeronautics,"Huntsville, AL",Software Engineering,None,60
2024-11,Rotary & Mission Systems,"Denver, CO",Systems Engineering,None,52
2024-11,Rotary & Mission Systems,"Orlando, FL",Manufacturing Operations,Public Trust,48
2024-11,Corporate Shared Services,"Orlando, FL",Cybersecurity,Secret,91
2024-11,Missiles & Fire Control,"Huntsville, AL",Cybersecurity,None,70
2024-11,Missiles & Fire Control,"Huntsville, AL",Systems Engineering,None,71
2024-11,Missiles & Fire Control,"Grand Prairie, TX",Mechanical Engineering,None,38
2024-11,Aeronautics,"Sunnyvale, CA",Manufacturing Operations,Top Secret,109
2024-11,Rotary & Mission Systems,"Huntsville, AL",Supply Chain,Secret,90
2024-11,Space,"Orlando, FL",Software Engineering,None,45
2024-11,Corporate Shared Services,"Orlando, FL",Mechanical Engineering,None,60
2024-11,Corporate Shared Services,"Huntsville, AL",Data Science & Analytics,Secret,79
2024-11,Aeronautics,"Orlando, FL",Electrical Engineering,Public Trust,94
2024-11,Missiles & Fire Control,"Huntsville, AL",Data Science & Analytics,Secret,107
2024-11,Missiles & Fire Control,"Sunnyvale, CA",Cybersecurity,Secret,57
2024-11,Missiles & Fire Control,Remote-Eligible,Mechanical Engineering,Top Secret,139
2024-11,Corporate Shared Services,"Fort Worth, TX",Mechanical Engineering,Public Trust,56
2024-11,Aeronautics,Remote-Eligible,Mechanical Engineering,Secret,94
2024-11,Aeronautics,"Orlando, FL",Mechanical Engineering,None,73
2024-11,Corporate Shared Services,"Fort Worth, TX",Manufacturing Operations,TS/SCI,112
2024-11,Corporate Shared Services,"Bethesda, MD",Program / Project Management,TS/SCI,132
2024-12,Space,Remote-Eligible,HR / People Analytics,Top Secret,89
2024-12,Space,"Bethesda, MD",Software Engineering,Secret,74
